1, -2.1131138928234576, 0.028585099801421165, -0.003453558776527643
2, -6.356652736663818, 0.11120764762163163, -0.01318817213177681
3, -9.058472824096679, 0.16730102002620698, -0.020797617733478546
4, -11.639931678771973, 0.22988061010837554, -0.028598060831427574
5, -13.715776634216308, 0.25980235636234283, -0.03698025643825531
6, -15.432638549804688, 0.31082153916358946, -0.048817116767168045
7, -16.97710075378418, 0.3709719955921173, -0.06163568049669266
8, -18.360855865478516, 0.38929271697998047, -0.07851745188236237
9, -19.57876853942871, 0.43015956282615664, -0.09397788345813751
10, -20.59546356201172, 0.48578062653541565, -0.11566272377967834
11, -21.986799240112305, 0.515921664237976, -0.137812539935112
12, -22.65291748046875, 0.6029274821281433, -0.16936439275741577
13, -23.475743103027344, 0.6500083446502686, -0.20138075947761536
14, -24.60181884765625, 0.7194540500640869, -0.23828929662704468
15, -25.313097381591795, 0.7597583413124085, -0.28074872493743896
16, -25.958983993530275, 0.7975749969482422, -0.32247021794319153
17, -26.89728202819824, 0.8207915186882019, -0.3672229051589966
18, -27.656163024902344, 0.8262386322021484, -0.42895764112472534
19, -28.106872940063475, 0.8682159066200257, -0.47086358070373535
20, -28.935920333862306, 0.8278602004051209, -0.5424904227256775
21, -29.06799201965332, 0.7925652146339417, -0.6259719133377075
22, -30.397957611083985, 0.7328685998916626, -0.6966853141784668
23, -30.060925674438476, 0.6424940705299378, -0.7938077449798584
24, -30.696138000488283, 0.5654795229434967, -0.89827561378479
25, -30.90508460998535, 0.37541061639785767, -1.011066198348999
26, -32.00118751525879, 0.19010162353515625, -1.1397886276245117
27, -32.45337066650391, -0.1405469872057438, -1.272881269454956
28, -32.48024482727051, -0.38199026584625245, -1.4285155534744263
29, -33.72708511352539, -0.7956844568252563, -1.583088994026184
30, -34.048092651367185, -1.1957966566085816, -1.7808703184127808
31, -34.47433700561523, -1.60403733253479, -2.0145955085754395
32, -34.93808212280273, -2.152508783340454, -2.2295007705688477
33, -35.53432922363281, -2.81272439956665, -2.50185227394104
34, -35.352072143554686, -3.284709405899048, -2.8674941062927246
35, -37.27329635620117, -3.971723699569702, -3.1284193992614746
36, -36.4900505065918, -4.83262882232666, -3.5191187858581543
37, -36.92273635864258, -5.884324932098389, -3.9636940956115723
38, -37.62684020996094, -6.862376594543457, -4.387117385864258
39, -37.7605598449707, -8.296529483795165, -4.95844841003418
40, -38.54290008544922, -9.490463066101075, -5.465401649475098
41, -39.15101318359375, -10.88280200958252, -6.148020267486572
42, -39.31295928955078, -12.123114967346192, -6.836691379547119
43, -39.521305084228516, -13.774055671691894, -7.700710296630859
44, -39.765953063964844, -15.100629615783692, -8.570472717285156
45, -40.58875503540039, -16.299773025512696, -9.49836254119873
46, -40.90751571655274, -17.91671028137207, -10.54304313659668
47, -42.24186630249024, -19.085451507568358, -11.99992847442627
48, -42.59104232788086, -20.219577407836915, -13.18429183959961
49, -42.950348663330075, -22.06817207336426, -14.693838119506836
50, -43.284619140625, -23.346753311157226, -16.448410034179688
51, -43.45801773071289, -24.961911773681642, -18.161602020263672
52, -44.943155670166014, -26.304738998413086, -19.956340789794922
53, -44.482720947265626, -27.647256469726564, -22.183910369873047
54, -46.02554550170898, -28.85080680847168, -24.289730072021484
55, -46.62816390991211, -30.10327606201172, -26.51858139038086
56, -46.841940307617186, -31.124463272094726, -28.68869972229004
57, -47.83960113525391, -32.48441848754883, -30.445281982421875
58, -48.09708099365234, -33.64236068725586, -33.297359466552734
59, -48.9302375793457, -34.61494903564453, -35.72260665893555
60, -49.619353485107425, -35.70298614501953, -38.861549377441406
61, -50.097093200683595, -36.53351516723633, -40.709922790527344
62, -51.06695022583008, -37.454322052001956, -43.174888610839844
63, -51.97382507324219, -38.46833114624023, -45.06427764892578
64, -52.862264251708986, -39.327256774902345, -46.756248474121094
65, -53.167259979248044, -40.137080383300784, -49.69305419921875
66, -53.55911102294922, -40.99009628295899, -53.00353240966797
67, -54.64023895263672, -41.52034912109375, -56.58998107910156
68, -55.0360824584961, -42.087982940673825, -58.45285415649414
69, -56.07602157592773, -43.00215377807617, -62.01866912841797
70, -56.74206771850586, -43.729879760742186, -63.989173889160156
71, -56.79639205932617, -44.62173309326172, -65.73101806640625
72, -57.403150177001955, -45.49561309814453, -68.6634292602539
73, -58.605970001220705, -46.19180145263672, -69.04356384277344
74, -58.24224166870117, -47.02126846313477, -71.6015853881836
75, -59.76948165893555, -47.837136840820314, -71.57011413574219
76, -59.93696594238281, -48.60807495117187, -74.32997131347656
77, -61.00839080810547, -49.392094421386716, -76.90313720703125
78, -60.528463745117186, -49.78807754516602, -77.05058288574219
79, -61.981632995605466, -50.61957626342773, -78.6689453125
80, -62.87036972045898, -51.303515625, -79.7817153930664
81, -62.984124755859376, -51.99448852539062, -81.96726989746094
82, -64.0612693786621, -52.66882858276367, -82.58768463134766
83, -64.27250823974609, -53.389563751220706, -83.89708709716797
84, -65.44811248779297, -54.08639221191406, -83.11488342285156
85, -65.9635238647461, -54.92868347167969, -82.82975006103516
86, -66.00205078125, -55.59775009155273, -86.26416778564453
87, -67.15232543945312, -56.418175506591794, -87.10151672363281
88, -67.73888244628907, -57.22970809936523, -88.42631530761719
89, -68.4298828125, -57.667608642578124, -86.94559478759766
90, -68.89398956298828, -58.17572937011719, -89.09430694580078
91, -69.81363983154297, -58.655704498291016, -88.70706176757812
92, -70.27834014892578, -59.41685943603515, -89.10995483398438
93, -70.4664794921875, -60.23666687011719, -90.34654235839844
94, -71.44138031005859, -61.140367126464845, -90.82423400878906
